Timestamp,Where do you reside?,Age Range,Gender,"Before today, had you heard of AI deepfake or “nudify” tools that can create fake or sexualized images of real people?",Do you personally know someone who had a deepfake or non-consensual sexual AI image made of them?,Has a deepfake or “nudify” image ever been made of you without your permission?,"Have you ever used one of these deepfake or ""nudify"" services? ",Are you worried about this happening to you or those around you?,How easy do you think it is for someone your age to access deepfake or “nudify” tools?
11/29/2025 16:28:40,Canada,31+,Male,Yes,No,No,,No,Somewhat easy
11/29/2025 16:41:26,Canada,31+,Male,Yes,No,No,,Yes,Not sure
11/29/2025 16:42:50,Canada,31+,Female,Yes,Maybe,Maybe,,Yes,Not sure
11/29/2025 16:57:30,Canada,18–21,Male,Yes,No,No,,Yes,Very easy
11/29/2025 16:58:29,Canada,18–21,Female,Yes,No,No,,Yes,Somewhat easy
11/29/2025 17:01:12,Canada,18–21,Female,Yes,No,No,,Maybe,Very easy
11/29/2025 17:02:18,Canada,22–25,Male,Yes,No,No,,Maybe,Very easy
11/29/2025 17:02:45,Canada,18–21,Male,Yes,No,No,,Maybe,Very easy
11/29/2025 17:06:02,Canada,18–21,Male,Yes,Yes,Maybe,,Yes,Somewhat easy
11/29/2025 17:26:56,Canada,22–25,Male,Yes,No,No,,No,Somewhat easy
11/29/2025 17:28:38,Canada,22–25,Male,Yes,No,No,,No,Very easy
11/29/2025 17:34:32,Canada,22–25,Female,Yes,No,No,,Yes,Very easy
11/29/2025 17:39:19,Canada,18–21,Male,Yes,No,No,,Yes,Very easy
11/29/2025 17:55:32,Canada,26–30,Male,Yes,No,No,,Yes,Very easy
11/29/2025 17:59:22,United States,26–30,Female,Yes,No,No,,Maybe,Hard
11/29/2025 18:02:05,Canada,18–21,Male,No,No,No,,No,Hard
11/29/2025 18:02:29,Canada,18–21,Male,Yes,Yes,Yes,,Yes,Somewhat easy
11/29/2025 18:04:25,Canada,18–21,Male,Yes,No,No,,No,Somewhat easy
11/29/2025 18:07:15,Canada,18–21,Male,Yes,No,No,,No,Somewhat easy
11/29/2025 18:08:07,United States,31+,Male,Yes,Yes,No,,Yes,Very easy
11/29/2025 18:08:56,Canada,31+,Male,Yes,No,No,,No,Somewhat easy
11/29/2025 18:11:04,United States,31+,Female,Yes,No,No,,No,Somewhat easy
11/29/2025 18:12:03,Canada,18–21,Male,Yes,No,No,,No,Very easy
11/29/2025 18:18:30,Europe,26–30,Female,Yes,Yes,Maybe,,Yes,Very easy
11/29/2025 18:19:42,Canada,15–17,Female,Yes,Yes,Yes,,Yes,Very easy
11/29/2025 18:23:44,Canada,18–21,Male,Yes,Yes,No,,Yes,Very easy
11/29/2025 18:23:47,United States,26–30,Female,Yes,Yes,No,,Yes,Very easy
11/29/2025 18:27:40,Canada,18–21,Female,No,No,No,,Yes,Very easy
11/29/2025 18:29:58,Canada,26–30,Female,Yes,Yes,Yes,,Yes,Somewhat easy
11/29/2025 18:32:49,United States,31+,Female,Yes,No,No,No,No,Somewhat easy
11/29/2025 18:35:14,France,22–25,Male,Yes,No,No,No,No,Very easy
11/29/2025 18:37:31,Canada,Under 15,Nonbinary,Yes,No,No,No,No,Not sure
11/29/2025 18:40:33,Europe,22–25,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 18:43:02,Canada,31+,Male,Yes,No,No,No,No,Very easy
11/29/2025 18:48:25,Canada,22–25,Female,Yes,No,No,No,Maybe,Very easy
11/29/2025 19:03:01,Europe,31+,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 19:03:19,Canada,31+,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 19:04:48,Canada,18–21,Female,Yes,No,No,No,Yes,Somewhat easy
11/29/2025 19:07:59,Europe,18–21,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 19:15:00,Europe,15–17,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 19:17:35,United States,18–21,Female,Yes,Maybe,No,,Yes,Very easy
11/29/2025 19:17:41,Canada,18–21,Male,Yes,No,No,Yes,No,Somewhat easy
11/29/2025 19:18:23,Europe,15–17,Female,Yes,Yes,Yes,No,Yes,Very easy
11/29/2025 19:21:40,Canada,31+,Female,Yes,No,No,No,Yes,Somewhat easy
11/29/2025 19:22:17,Europe,26–30,Male,Yes,No,No,No,Maybe,Somewhat easy
11/29/2025 19:27:26,Canada,22–25,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 19:37:49,Japan,18–21,Male,Yes,No,No,No,Yes,Very easy
11/29/2025 19:41:25,United States,18–21,Female,Yes,Yes,Yes,No,Yes,Very easy
11/29/2025 19:48:46,United States,22–25,Male,Yes,No,No,No,Yes,Very easy
11/29/2025 19:48:53,Europe,26–30,Male,Yes,No,No,No,Yes,Very easy
11/29/2025 19:51:03,Europe,26–30,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 19:57:48,Europe,26–30,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 19:59:58,United States,15–17,Female,Yes,No,No,No,Yes,Somewhat easy
11/29/2025 20:11:27,United States,31+,Female,Yes,No,Maybe,No,Yes,Very easy
11/29/2025 20:16:29,United States,31+,Female,Yes,Maybe,No,No,Yes,Very easy
11/29/2025 20:31:03,Canada,18–21,Male,Yes,No,No,No,No,Very easy
11/29/2025 20:34:17,United States,18–21,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 20:44:21,Canada,18–21,Male,Yes,No,No,No,No,
11/29/2025 20:47:55,United States,18–21,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 20:48:31,Canada,22–25,Female,Yes,No,No,No,Yes,Somewhat easy
11/29/2025 20:50:16,United States,31+,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 20:50:25,United States,22–25,Female,Yes,No,No,No,Yes,Somewhat easy
11/29/2025 20:52:03,United States,22–25,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 20:55:37,Asia,18–21,Female,Yes,Yes,Maybe,No,Yes,Somewhat easy
11/29/2025 20:56:33,Australia ,31+,Female,No,No,No,No,Yes,Not sure
11/29/2025 21:03:42,United States,31+,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 21:16:47,Europe,26–30,Female,Yes,Yes,No,No,Yes,Somewhat easy
11/29/2025 21:18:03,United States,31+,Female,Yes,No,No,No,Maybe,Somewhat easy
11/29/2025 21:26:07,Canada,31+,Male,Yes,Maybe,No,Yes,Yes,Very easy
11/29/2025 21:26:52,Canada,22–25,Male,Yes,No,No,No,Maybe,Somewhat easy
11/29/2025 21:35:18,New Zealand ,31+,Female,Yes,Maybe,No,No,Yes,Very easy
11/29/2025 21:36:58,United States,31+,Female,Yes,No,No,No,Yes,Very easy
11/29/2025 21:50:51,Australia,22–25,Male,Yes,No,No,No,Yes,Very easy
11/29/2025 22:12:20,Brazil,15–17,Female,Yes,Yes,Maybe,No,Yes,Very easy
11/29/2025 23:15:45,United States,31+,Female,Yes,No,No,No,Yes,Somewhat easy
11/29/2025 23:21:48,United States,26–30,Male,Yes,Yes,No,No,Yes,Very easy
11/29/2025 23:22:12,Vietnam ,26–30,Female,Yes,No,Maybe,No,Yes,Very easy
11/29/2025 23:28:19,United States,26–30,Male,Yes,No,No,No,Maybe,Very easy
11/29/2025 23:38:11,United States,18–21,Female,Yes,No,No,Yes,No,Very easy
11/29/2025 23:39:30,niggastan,Prefer not to say,Nonbinary,Yes,Yes,Yes,Yes,No,Very easy
11/29/2025 23:41:11,United States,26–30,Male,Yes,No,No,No,Yes,Very easy
11/29/2025 23:45:27,United States,31+,Male,Yes,No,No,No,Maybe,Very easy
11/30/2025 0:08:38,United States,22–25,Female,Yes,No,No,Yes,Maybe,Very easy
11/30/2025 0:12:33,United States,15–17,Female,No,Yes,No,No,Yes,Very easy
11/30/2025 0:14:58,United States,18–21,Female,Yes,No,No,No,Maybe,Very easy
11/30/2025 1:03:06,United States,22–25,Female,Yes,No,No,No,Yes,Somewhat easy
11/30/2025 1:07:15,Europe,Prefer not to say,Female,Yes,Maybe,No,No,Yes,Very easy
11/30/2025 1:12:47,United States,31+,Male,Yes,No,No,No,Yes,Very easy
11/30/2025 1:16:11,Europe,31+,Male,Yes,No,Maybe,No,No,Not sure
11/30/2025 1:28:24,United States,18–21,Male,Yes,No,No,No,Yes,Very easy
11/30/2025 1:38:21,Europe,26–30,Female,Yes,No,No,No,Yes,Somewhat easy
11/30/2025 2:32:38,Europe,31+,Male,Yes,No,No,No,No,Not sure
11/30/2025 2:35:59,Europe,31+,Nonbinary,Yes,No,Maybe,No,No,Somewhat easy
11/30/2025 2:45:55,Europe,31+,Female,Yes,No,No,No,Yes,Somewhat easy
11/30/2025 2:54:42,Europe,22–25,Male,Yes,No,No,No,Yes,Very easy
11/30/2025 3:16:37,United States,22–25,Nonbinary,Yes,Yes,No,No,Yes,Very easy
11/30/2025 3:29:15,United States,26–30,Female,Yes,No,No,No,Yes,Very easy
11/30/2025 3:54:22,Europe,15–17,Prefer not to say,Yes,Maybe,No,No,Yes,Somewhat easy
11/30/2025 4:27:01,Europe,26–30,Female,Yes,No,No,No,Maybe,Very easy
